symptoms,disease
"fatigue, severe headache, skin rash, sudden high fever, mild bleeding, severe joint and muscle pain",Dengue
headache,Malaria
"chills, headache, fatigue, loss of appetite, body ache, weakness",Viral Fever
"thinning hair, muscle aches, heavy or irregular menstrual periods, puffy face, fatigue, pain, stiffness or swelling in your joints",Hypothyroidism
nausea,Dengue
"congestion, sneezing, malaise, low-grade fever",Common Cold
"blurred vision, areas of darkened skin",Diabetes Type 2
"prolonged fever, rash, weakness, fatigue, sweating, abdominal pain, muscle ache, weight loss, headache, loss of appetite, diarrhea or constipation, dry cough",Typhoid
"chest pain, headache, fatigue",Anemia
"fatigue, frequent urination",Diabetes Type 2
"hoarseness, elevated blood cholesterol, impaired memory, increased sensitivity to cold, constipation, weight gain, tenderness and stiffness, puffy face, thinning hair, muscle aches, slowed heart rate, fatigue, depression, muscle weakness, dry skin, pain, stiffness or swelling in your joints",Hypothyroidism
"malaise, mild headache, sore throat, low-grade fever, congestion, slight body aches, runny or stuffy nose, sneezing",Common Cold
"numbness or tingling in the hands or feet, increased thirst, areas of darkened skin, frequent urination, fatigue",Diabetes Type 2
"muscle aches, thinning hair, elevated blood cholesterol, slowed heart rate, weight gain, pain, stiffness or swelling in your joints, puffy face, hoarseness, tenderness and stiffness, constipation, heavy or irregular menstrual periods",Hypothyroidism
"dry cough, sweating, prolonged fever",Typhoid
"abdominal pain, headache, sweating",Malaria
"chills, loss of appetite, headache, weakness",Viral Fever
"weakness, fatigue, dry cough",Typhoid
"low-grade fever, cough, runny or stuffy nose, sneezing, malaise, mild headache, congestion",Common Cold
"weakness, fatigue, pale or yellowish skin, shortness of breath, headache, cold hands and feet, irregular heartbeats, chest pain",Anemia
"prolonged fever, weight loss, rash, headache, diarrhea or constipation, weakness",Typhoid
"hoarseness, elevated blood cholesterol, heavy or irregular menstrual periods, muscle weakness, puffy face, thinning hair, slowed heart rate, muscle aches, tenderness and stiffness, impaired memory, constipation, increased sensitivity to cold, pain, stiffness or swelling in your joints, dry skin",Hypothyroidism
"increased sensitivity to cold, depression, slowed heart rate, weight gain, hoarseness, pain, stiffness or swelling in your joints, puffy face, muscle weakness, constipation, heavy or irregular menstrual periods, thinning hair, elevated blood cholesterol, dry skin",Hypothyroidism
"slow-healing sores, numbness or tingling in the hands or feet, frequent urination, areas of darkened skin, unintended weight loss, fatigue, frequent infections, increased hunger, blurred vision",Diabetes Type 2
"skin rash, fatigue, severe headache, nausea, severe joint and muscle pain, pain behind eyes, sudden high fever",Dengue
"pale or yellowish skin, weakness, cold hands and feet, headache, shortness of breath, dizziness or lightheadedness, irregular heartbeats, fatigue, chest pain",Anemia
sneezing,Common Cold
"pain, stiffness or swelling in your joints, increased sensitivity to cold, muscle aches, impaired memory, slowed heart rate, weight gain, elevated blood cholesterol, puffy face, constipation, fatigue, muscle weakness, hoarseness, depression, thinning hair, dry skin, tenderness and stiffness, heavy or irregular menstrual periods",Hypothyroidism
"headache, body ache",Viral Fever
slow-healing sores,Diabetes Type 2
"hoarseness, heavy or irregular menstrual periods, tenderness and stiffness",Hypothyroidism
"headache, vomiting, anemia, nausea, muscle pain, abdominal pain, diarrhea, fever with shaking chills",Malaria
"fever with shaking chills, anemia, sweating, headache, muscle pain, diarrhea",Malaria
"loss of appetite, sweating, weight loss, headache, muscle ache, diarrhea or constipation, fatigue, weakness, prolonged fever",Typhoid
congestion,Common Cold
"increased hunger, unintended weight loss, slow-healing sores",Diabetes Type 2
"weight loss, weakness, muscle ache",Typhoid
"chest pain, dizziness or lightheadedness",Anemia
"nausea, diarrhea, vomiting, headache, abdominal pain, sweating, fever with shaking chills",Malaria
"fever with shaking chills, headache",Malaria
"sweating, nausea, fever with shaking chills, headache, anemia, muscle pain, vomiting, abdominal pain, diarrhea",Malaria
"unintended weight loss, frequent infections, fatigue, areas of darkened skin",Diabetes Type 2
"weight loss, fatigue, rash, dry cough, headache, loss of appetite, sweating",Typhoid
"abdominal pain, muscle pain, vomiting, sweating, anemia, nausea, fever with shaking chills, diarrhea",Malaria
"cough, slight body aches, sneezing, mild headache, malaise, sore throat, congestion",Common Cold
"unintended weight loss, frequent urination, frequent infections, increased thirst, blurred vision, increased hunger",Diabetes Type 2
"headache, loss of appetite, fatigue, measured high fever, chills, body ache, weakness",Viral Fever
"increased thirst, fatigue",Diabetes Type 2
"unintended weight loss, increased thirst, areas of darkened skin, slow-healing sores, numbness or tingling in the hands or feet",Diabetes Type 2
"prolonged fever, rash, weight loss, dry cough, muscle ache, sweating, weakness, headache",Typhoid
"sweating, dry cough, fatigue, rash, loss of appetite, headache, weakness, diarrhea or constipation, abdominal pain",Typhoid
"blurred vision, numbness or tingling in the hands or feet, fatigue, unintended weight loss, slow-healing sores, increased hunger",Diabetes Type 2
"body ache, weakness, fatigue, chills, headache, measured high fever",Viral Fever
"pale or yellowish skin, cold hands and feet, chest pain, weakness, irregular heartbeats, shortness of breath, fatigue, headache",Anemia
"numbness or tingling in the hands or feet, frequent urination, slow-healing sores, fatigue, areas of darkened skin, unintended weight loss, increased hunger, frequent infections, increased thirst",Diabetes Type 2
"slow-healing sores, frequent urination, fatigue, increased hunger, areas of darkened skin",Diabetes Type 2
"muscle weakness, heavy or irregular menstrual periods, impaired memory, muscle aches, weight gain, pain, stiffness or swelling in your joints, fatigue, puffy face, hoarseness, dry skin, thinning hair, tenderness and stiffness, elevated blood cholesterol, increased sensitivity to cold",Hypothyroidism
"cold hands and feet, headache, dizziness or lightheadedness, shortness of breath, fatigue",Anemia
"headache, fatigue, chills, weakness, measured high fever",Viral Fever
"weakness, pale or yellowish skin, dizziness or lightheadedness, fatigue, chest pain, cold hands and feet, shortness of breath, headache, irregular heartbeats",Anemia
"increased hunger, increased thirst, unintended weight loss, areas of darkened skin, numbness or tingling in the hands or feet, frequent urination, fatigue",Diabetes Type 2
"numbness or tingling in the hands or feet, frequent infections, increased thirst, slow-healing sores, frequent urination, unintended weight loss, areas of darkened skin, fatigue",Diabetes Type 2
"sneezing, cough, low-grade fever",Common Cold
fatigue,Viral Fever
"fatigue, slowed heart rate, pain, stiffness or swelling in your joints, muscle aches, tenderness and stiffness, weight gain, muscle weakness, heavy or irregular menstrual periods",Hypothyroidism
"chest pain, pale or yellowish skin",Anemia
"abdominal pain, diarrhea, muscle pain, sweating, nausea, fever with shaking chills",Malaria
measured high fever,Viral Fever
"sore throat, cough, sneezing, slight body aches, low-grade fever, mild headache, congestion",Common Cold
"cough, sore throat, low-grade fever, congestion, sneezing, runny or stuffy nose",Common Cold
"congestion, runny or stuffy nose, cough, low-grade fever, slight body aches",Common Cold
"dizziness or lightheadedness, fatigue, weakness",Anemia
"slowed heart rate, hoarseness, impaired memory, thinning hair, increased sensitivity to cold, puffy face, constipation, tenderness and stiffness, depression, dry skin, heavy or irregular menstrual periods, elevated blood cholesterol, muscle weakness, muscle aches, fatigue, pain, stiffness or swelling in your joints, weight gain",Hypothyroidism
"fever with shaking chills, nausea, abdominal pain, sweating, headache, vomiting, muscle pain, diarrhea",Malaria
"diarrhea or constipation, fatigue, sweating, headache, dry cough, rash, prolonged fever",Typhoid
"body ache, loss of appetite, fatigue, headache, weakness, chills",Viral Fever
"weakness, dizziness or lightheadedness, irregular heartbeats, cold hands and feet, fatigue, pale or yellowish skin, headache",Anemia
"dry skin, constipation, fatigue, depression",Hypothyroidism
"anemia, abdominal pain, nausea, fever with shaking chills",Malaria
"sweating, dry cough, muscle ache, abdominal pain",Typhoid
"sore throat, malaise, low-grade fever, mild headache",Common Cold
"fatigue, loss of appetite, measured high fever",Viral Fever
"fatigue, dizziness or lightheadedness",Anemia
"numbness or tingling in the hands or feet, unintended weight loss, blurred vision, increased hunger, slow-healing sores, frequent urination, frequent infections, areas of darkened skin",Diabetes Type 2
"constipation, impaired memory, elevated blood cholesterol",Hypothyroidism
"sneezing, malaise, congestion, mild headache, runny or stuffy nose, sore throat",Common Cold
"low-grade fever, congestion, sneezing",Common Cold
"impaired memory, tenderness and stiffness, weight gain, constipation, muscle aches, muscle weakness, fatigue",Hypothyroidism
measured high fever,Viral Fever
"mild bleeding, vomiting, severe joint and muscle pain",Dengue
"fatigue, body ache, loss of appetite, measured high fever",Viral Fever
"irregular heartbeats, dizziness or lightheadedness",Anemia
shortness of breath,Anemia
"headache, measured high fever, weakness, fatigue",Viral Fever
"weakness, prolonged fever, fatigue, diarrhea or constipation, rash, abdominal pain, loss of appetite, headache, muscle ache, sweating",Typhoid
"loss of appetite, sweating, headache, abdominal pain, rash, dry cough, diarrhea or constipation, prolonged fever, muscle ache",Typhoid
"fever with shaking chills, abdominal pain, sweating, muscle pain, nausea, anemia, vomiting",Malaria
"weakness, muscle ache, abdominal pain, loss of appetite, diarrhea or constipation, dry cough, fatigue, prolonged fever, weight loss, headache, sweating, rash",Typhoid
"areas of darkened skin, increased thirst, fatigue, slow-healing sores, blurred vision, frequent infections, numbness or tingling in the hands or feet",Diabetes Type 2
"severe headache, pain behind eyes, mild bleeding, severe joint and muscle pain, nausea, fatigue, vomiting",Dengue
"nausea, fever with shaking chills, muscle pain, diarrhea, abdominal pain, sweating, vomiting",Malaria
"unintended weight loss, frequent urination, fatigue, numbness or tingling in the hands or feet, increased hunger, blurred vision, frequent infections, slow-healing sores, increased thirst",Diabetes Type 2
"headache, body ache, measured high fever",Viral Fever
"frequent infections, frequent urination, blurred vision, unintended weight loss, numbness or tingling in the hands or feet, fatigue",Diabetes Type 2
"skin rash, nausea, severe headache, mild bleeding, pain behind eyes",Dengue
"diarrhea, anemia, sweating, fever with shaking chills, vomiting, headache",Malaria
"slight body aches, congestion, sneezing, malaise, low-grade fever, cough, sore throat, mild headache",Common Cold
"mild bleeding, severe joint and muscle pain, nausea",Dengue
"weakness, irregular heartbeats, shortness of breath",Anemia
"sudden high fever, nausea, pain behind eyes",Dengue
"irregular heartbeats, dizziness or lightheadedness, pale or yellowish skin, fatigue",Anemia
prolonged fever,Typhoid
"blurred vision, areas of darkened skin, increased hunger, frequent urination, slow-healing sores, numbness or tingling in the hands or feet, unintended weight loss, frequent infections, increased thirst",Diabetes Type 2
"numbness or tingling in the hands or feet, slow-healing sores, fatigue, frequent urination",Diabetes Type 2
"severe headache, skin rash, vomiting, fatigue, mild bleeding, pain behind eyes, sudden high fever, severe joint and muscle pain",Dengue
"constipation, dry skin, heavy or irregular menstrual periods, thinning hair, hoarseness, tenderness and stiffness, muscle weakness, fatigue, muscle aches, weight gain, elevated blood cholesterol, pain, stiffness or swelling in your joints, depression, slowed heart rate",Hypothyroidism
"numbness or tingling in the hands or feet, fatigue, unintended weight loss",Diabetes Type 2
"pain behind eyes, sudden high fever, severe joint and muscle pain, fatigue, skin rash, mild bleeding, severe headache, nausea, vomiting",Dengue
"fatigue, areas of darkened skin, numbness or tingling in the hands or feet, blurred vision, increased hunger, frequent infections",Diabetes Type 2
"low-grade fever, runny or stuffy nose, congestion, cough, mild headache, malaise",Common Cold
"runny or stuffy nose, cough, sneezing, malaise, low-grade fever, mild headache, sore throat, congestion",Common Cold
"loss of appetite, measured high fever, weakness, headache, chills",Viral Fever
"weakness, body ache, loss of appetite, fatigue, chills",Viral Fever
frequent urination,Diabetes Type 2
"pale or yellowish skin, shortness of breath, chest pain, fatigue, headache, weakness",Anemia
"headache, anemia, abdominal pain, nausea, fever with shaking chills, vomiting, diarrhea",Malaria
"nausea, skin rash, vomiting, severe headache, severe joint and muscle pain, mild bleeding, pain behind eyes",Dengue
"headache, chills, fatigue, body ache, measured high fever",Viral Fever
"runny or stuffy nose, mild headache, slight body aches, low-grade fever, sore throat",Common Cold
"hoarseness, slowed heart rate, increased sensitivity to cold",Hypothyroidism
"fatigue, dizziness or lightheadedness",Anemia
"headache, vomiting, abdominal pain, fever with shaking chills, sweating, diarrhea, nausea",Malaria
"loss of appetite, fatigue",Viral Fever
"sweating, vomiting, muscle pain, anemia, abdominal pain, diarrhea, nausea, fever with shaking chills, headache",Malaria
"slight body aches, low-grade fever, cough, congestion, mild headache, runny or stuffy nose, malaise",Common Cold
"mild headache, low-grade fever, runny or stuffy nose, sore throat, congestion, sneezing, slight body aches, malaise",Common Cold
"blurred vision, slow-healing sores, fatigue, areas of darkened skin, unintended weight loss, frequent urination, numbness or tingling in the hands or feet, frequent infections",Diabetes Type 2
"headache, body ache, weakness, loss of appetite",Viral Fever
"slight body aches, sore throat, congestion, sneezing, low-grade fever, malaise, runny or stuffy nose, cough, mild headache",Common Cold
"body ache, loss of appetite, fatigue, chills",Viral Fever
dry cough,Typhoid
"unintended weight loss, blurred vision, slow-healing sores, frequent urination, numbness or tingling in the hands or feet, increased thirst, areas of darkened skin, increased hunger, frequent infections",Diabetes Type 2
"fatigue, thinning hair, elevated blood cholesterol, heavy or irregular menstrual periods, dry skin, hoarseness, muscle aches, depression, puffy face, constipation, muscle weakness, tenderness and stiffness, impaired memory, increased sensitivity to cold, slowed heart rate, weight gain, pain, stiffness or swelling in your joints",Hypothyroidism
"diarrhea or constipation, loss of appetite, weight loss, abdominal pain, rash, dry cough",Typhoid
"slowed heart rate, weight gain, elevated blood cholesterol, tenderness and stiffness, muscle aches, impaired memory, muscle weakness",Hypothyroidism
blurred vision,Diabetes Type 2
"anemia, diarrhea, abdominal pain, vomiting, fever with shaking chills, headache, sweating",Malaria
"sneezing, runny or stuffy nose, malaise, cough, sore throat, slight body aches, mild headache, low-grade fever, congestion",Common Cold
"congestion, malaise, runny or stuffy nose, sore throat, cough, low-grade fever, mild headache, slight body aches",Common Cold
"chest pain, weakness, irregular heartbeats, cold hands and feet, fatigue, dizziness or lightheadedness",Anemia
mild headache,Common Cold
"fatigue, chills, measured high fever, headache",Viral Fever
"muscle pain, vomiting, nausea, fever with shaking chills",Malaria
"rash, weight loss, loss of appetite, muscle ache, prolonged fever, dry cough",Typhoid
rash,Typhoid
"muscle aches, tenderness and stiffness, thinning hair, slowed heart rate, fatigue, puffy face, constipation, pain, stiffness or swelling in your joints, depression, muscle weakness, dry skin, hoarseness, elevated blood cholesterol, increased sensitivity to cold",Hypothyroidism
"headache, weakness, muscle ache, rash, dry cough, fatigue",Typhoid
"dry cough, muscle ache, abdominal pain, loss of appetite, diarrhea or constipation, headache, fatigue, prolonged fever, sweating, weight loss, rash",Typhoid
"diarrhea, abdominal pain, vomiting",Malaria
frequent infections,Diabetes Type 2
slowed heart rate,Hypothyroidism
"weakness, fatigue, weight loss, prolonged fever, abdominal pain, sweating",Typhoid
"chills, body ache, weakness",Viral Fever
"slow-healing sores, fatigue, areas of darkened skin, increased thirst, blurred vision, frequent infections, increased hunger, frequent urination, unintended weight loss",Diabetes Type 2
"fatigue, headache, measured high fever, body ache, weakness, loss of appetite, chills",Viral Fever
"muscle weakness, depression, tenderness and stiffness, constipation, muscle aches",Hypothyroidism
"thinning hair, pain, stiffness or swelling in your joints, muscle weakness, weight gain, elevated blood cholesterol, fatigue, tenderness and stiffness, hoarseness, impaired memory, depression, constipation",Hypothyroidism
"unintended weight loss, frequent urination, increased thirst, blurred vision, slow-healing sores, areas of darkened skin, frequent infections, numbness or tingling in the hands or feet, increased hunger",Diabetes Type 2
"body ache, weakness, loss of appetite, headache, measured high fever, fatigue, chills",Viral Fever
"weakness, dizziness or lightheadedness",Anemia
"diarrhea, sweating, vomiting, headache",Malaria
"fatigue, numbness or tingling in the hands or feet, unintended weight loss",Diabetes Type 2
"pain, stiffness or swelling in your joints, heavy or irregular menstrual periods, elevated blood cholesterol, constipation, increased sensitivity to cold",Hypothyroidism
"runny or stuffy nose, slight body aches, mild headache, malaise, cough, sore throat, congestion, low-grade fever",Common Cold
"mild bleeding, severe joint and muscle pain, nausea, pain behind eyes, sudden high fever",Dengue
"cough, runny or stuffy nose, malaise, sneezing, sore throat, low-grade fever",Common Cold
"fever with shaking chills, vomiting, anemia, diarrhea, abdominal pain",Malaria
"loss of appetite, weight loss, headache, diarrhea or constipation, fatigue, prolonged fever, rash, sweating",Typhoid
"hoarseness, constipation, impaired memory, weight gain, heavy or irregular menstrual periods, elevated blood cholesterol, depression, tenderness and stiffness, pain, stiffness or swelling in your joints, slowed heart rate",Hypothyroidism
"fatigue, prolonged fever, diarrhea or constipation, weight loss, sweating, headache",Typhoid
"headache, dizziness or lightheadedness, cold hands and feet, pale or yellowish skin, weakness, shortness of breath, fatigue",Anemia
"weight gain, heavy or irregular menstrual periods, slowed heart rate, constipation, impaired memory, muscle aches, pain, stiffness or swelling in your joints, elevated blood cholesterol, hoarseness, fatigue, increased sensitivity to cold, muscle weakness, dry skin",Hypothyroidism
"headache, loss of appetite, rash, muscle ache, prolonged fever, diarrhea or constipation, fatigue, weight loss, dry cough, abdominal pain, weakness, sweating",Typhoid
"puffy face, thinning hair, slowed heart rate, impaired memory, tenderness and stiffness, dry skin, increased sensitivity to cold, constipation, muscle weakness, muscle aches",Hypothyroidism
"diarrhea or constipation, dry cough, fatigue, loss of appetite, sweating",Typhoid
"mild bleeding, pain behind eyes, fatigue",Dengue
"frequent infections, numbness or tingling in the hands or feet, increased thirst",Diabetes Type 2
"cold hands and feet, irregular heartbeats, fatigue, weakness, dizziness or lightheadedness, shortness of breath, chest pain, headache, pale or yellowish skin",Anemia
"thinning hair, tenderness and stiffness, dry skin",Hypothyroidism
"nausea, severe headache, mild bleeding, pain behind eyes, fatigue, sudden high fever, severe joint and muscle pain, skin rash, vomiting",Dengue
"runny or stuffy nose, mild headache, sneezing, congestion, low-grade fever, malaise, slight body aches",Common Cold
"sudden high fever, mild bleeding, fatigue, pain behind eyes, skin rash, severe joint and muscle pain, severe headache, nausea, vomiting",Dengue
"fatigue, pale or yellowish skin, chest pain",Anemia
"fatigue, muscle aches, slowed heart rate, weight gain, constipation, heavy or irregular menstrual periods",Hypothyroidism
"fatigue, dry cough, prolonged fever, muscle ache, weakness, weight loss, sweating, headache, rash, loss of appetite",Typhoid
"malaise, sore throat, sneezing, cough, runny or stuffy nose, low-grade fever, mild headache, slight body aches",Common Cold
"nausea, vomiting, fatigue, severe headache, pain behind eyes, sudden high fever",Dengue
"fatigue, impaired memory, increased sensitivity to cold, muscle weakness, slowed heart rate, constipation",Hypothyroidism
"constipation, impaired memory, muscle aches, elevated blood cholesterol, pain, stiffness or swelling in your joints, thinning hair, heavy or irregular menstrual periods, slowed heart rate, fatigue, weight gain",Hypothyroidism
"prolonged fever, loss of appetite",Typhoid
"anemia, fever with shaking chills, diarrhea, vomiting",Malaria
"muscle ache, weight loss, rash, diarrhea or constipation, sweating, dry cough, abdominal pain, fatigue, weakness",Typhoid
"dry cough, abdominal pain, diarrhea or constipation, weight loss, loss of appetite, muscle ache, rash, sweating, weakness, fatigue, prolonged fever, headache",Typhoid
"dizziness or lightheadedness, irregular heartbeats, weakness, shortness of breath",Anemia
"weight loss, rash, headache",Typhoid
"abdominal pain, sweating, anemia, nausea, vomiting, diarrhea, headache, muscle pain",Malaria
"dry cough, loss of appetite, diarrhea or constipation, muscle ache",Typhoid
"vomiting, severe headache, severe joint and muscle pain, pain behind eyes, mild bleeding",Dengue
"numbness or tingling in the hands or feet, slow-healing sores, increased hunger, frequent infections, areas of darkened skin",Diabetes Type 2
"dizziness or lightheadedness, irregular heartbeats, headache",Anemia
"fatigue, frequent infections, increased hunger, numbness or tingling in the hands or feet, increased thirst, slow-healing sores, blurred vision, frequent urination, areas of darkened skin, unintended weight loss",Diabetes Type 2
"pale or yellowish skin, cold hands and feet, irregular heartbeats, headache, shortness of breath",Anemia
"slow-healing sores, increased thirst, numbness or tingling in the hands or feet, areas of darkened skin, blurred vision, frequent urination, increased hunger, fatigue, frequent infections",Diabetes Type 2
"sneezing, slight body aches, cough, mild headache, congestion, malaise",Common Cold
measured high fever,Viral Fever
headache,Viral Fever
"body ache, loss of appetite, measured high fever, fatigue, chills, weakness",Viral Fever
headache,Anemia
"weakness, headache, diarrhea or constipation, prolonged fever, rash, sweating, loss of appetite, dry cough, fatigue, weight loss, muscle ache, abdominal pain",Typhoid
"shortness of breath, cold hands and feet, weakness",Anemia
measured high fever,Viral Fever
areas of darkened skin,Diabetes Type 2
"skin rash, mild bleeding, vomiting, nausea, fatigue",Dengue
increased thirst,Diabetes Type 2
muscle ache,Typhoid
"pale or yellowish skin, shortness of breath, headache, weakness",Anemia
"frequent urination, increased thirst, fatigue, frequent infections, blurred vision, slow-healing sores, areas of darkened skin",Diabetes Type 2
"loss of appetite, fatigue, chills",Viral Fever
"shortness of breath, chest pain, weakness, irregular heartbeats, cold hands and feet, dizziness or lightheadedness, pale or yellowish skin",Anemia
"heavy or irregular menstrual periods, hoarseness, slowed heart rate, constipation, depression, dry skin, weight gain",Hypothyroidism
"pale or yellowish skin, chest pain, headache, irregular heartbeats",Anemia
"weakness, pale or yellowish skin, irregular heartbeats, cold hands and feet, shortness of breath, headache",Anemia
"slowed heart rate, pain, stiffness or swelling in your joints, impaired memory, hoarseness, constipation, heavy or irregular menstrual periods",Hypothyroidism
"pale or yellowish skin, chest pain, irregular heartbeats, cold hands and feet, headache",Anemia
"increased sensitivity to cold, hoarseness, impaired memory, dry skin, constipation, muscle weakness, thinning hair",Hypothyroidism
"sore throat, congestion, mild headache, slight body aches, cough, malaise",Common Cold
"loss of appetite, weakness",Viral Fever
"vomiting, sudden high fever",Dengue
"sweating, nausea, vomiting, anemia, abdominal pain, fever with shaking chills, diarrhea, muscle pain",Malaria
"severe joint and muscle pain, severe headache, skin rash, vomiting, nausea",Dengue
"unintended weight loss, numbness or tingling in the hands or feet, fatigue, areas of darkened skin, blurred vision, frequent urination, frequent infections",Diabetes Type 2
"weakness, irregular heartbeats, chest pain, pale or yellowish skin, dizziness or lightheadedness, headache",Anemia
"vomiting, sudden high fever",Dengue
"sore throat, mild headache, cough, slight body aches",Common Cold
nausea,Dengue
"muscle pain, sweating, nausea, fever with shaking chills, abdominal pain, anemia",Malaria
"headache, dizziness or lightheadedness, chest pain, pale or yellowish skin, cold hands and feet",Anemia
"sweating, anemia, muscle pain, vomiting, fever with shaking chills, diarrhea, abdominal pain",Malaria
"vomiting, skin rash, mild bleeding, severe joint and muscle pain, nausea, pain behind eyes, fatigue",Dengue
"fever with shaking chills, diarrhea, muscle pain, abdominal pain, nausea",Malaria
"sore throat, congestion, runny or stuffy nose, low-grade fever, sneezing, mild headache, slight body aches",Common Cold
"elevated blood cholesterol, puffy face, tenderness and stiffness, increased sensitivity to cold, hoarseness, muscle weakness, slowed heart rate, thinning hair, dry skin, constipation, muscle aches, impaired memory",Hypothyroidism
"severe headache, nausea",Dengue
"fatigue, body ache, headache, chills, loss of appetite",Viral Fever
"nausea, headache, diarrhea, sweating, abdominal pain, vomiting, fever with shaking chills",Malaria
"weight gain, pain, stiffness or swelling in your joints, elevated blood cholesterol, depression, tenderness and stiffness, slowed heart rate, impaired memory, increased sensitivity to cold, muscle aches, fatigue, heavy or irregular menstrual periods, puffy face",Hypothyroidism
"skin rash, severe headache, nausea, sudden high fever, vomiting, pain behind eyes, mild bleeding, fatigue",Dengue
"muscle pain, nausea, vomiting, diarrhea, anemia, headache",Malaria
headache,Anemia
"headache, loss of appetite, measured high fever, chills",Viral Fever
"headache, abdominal pain, anemia, muscle pain, diarrhea, vomiting, nausea, sweating",Malaria
"abdominal pain, weight loss, weakness, fatigue, diarrhea or constipation, headache, loss of appetite, sweating, rash, muscle ache",Typhoid
"diarrhea, nausea, muscle pain, vomiting, headache",Malaria
"severe joint and muscle pain, vomiting",Dengue
"low-grade fever, sneezing, cough, mild headache, runny or stuffy nose, slight body aches",Common Cold
"shortness of breath, fatigue, weakness, irregular heartbeats, pale or yellowish skin, cold hands and feet, dizziness or lightheadedness",Anemia
"muscle pain, anemia",Malaria
"low-grade fever, congestion, runny or stuffy nose, sneezing, mild headache, sore throat, cough, malaise, slight body aches",Common Cold
headache,Anemia
"weight loss, loss of appetite",Typhoid
"blurred vision, numbness or tingling in the hands or feet, frequent infections, increased hunger, areas of darkened skin, fatigue, increased thirst, unintended weight loss, frequent urination",Diabetes Type 2
"vomiting, muscle pain, anemia, diarrhea, sweating",Malaria
"prolonged fever, rash, abdominal pain, diarrhea or constipation",Typhoid
"dry skin, depression, thinning hair, fatigue, pain, stiffness or swelling in your joints, weight gain",Hypothyroidism
"nausea, vomiting",Dengue
"slow-healing sores, frequent urination, increased thirst",Diabetes Type 2
"runny or stuffy nose, sneezing, low-grade fever, congestion, sore throat, cough, mild headache, malaise, slight body aches",Common Cold
"skin rash, vomiting",Dengue
"measured high fever, loss of appetite, body ache",Viral Fever
"increased thirst, unintended weight loss, blurred vision, slow-healing sores, numbness or tingling in the hands or feet, fatigue, increased hunger, frequent urination, areas of darkened skin",Diabetes Type 2
"mild headache, sneezing, low-grade fever",Common Cold
"diarrhea or constipation, prolonged fever, dry cough, loss of appetite, weakness, sweating",Typhoid
"diarrhea or constipation, prolonged fever, loss of appetite, weakness, sweating, rash, weight loss, headache, fatigue, muscle ache, dry cough, abdominal pain",Typhoid
"nausea, severe headache",Dengue
increased sensitivity to cold,Hypothyroidism
unintended weight loss,Diabetes Type 2
"numbness or tingling in the hands or feet, unintended weight loss, frequent infections, increased hunger, slow-healing sores, blurred vision, increased thirst",Diabetes Type 2
"pale or yellowish skin, chest pain",Anemia
"measured high fever, fatigue, loss of appetite, headache",Viral Fever
"loss of appetite, measured high fever, chills, fatigue",Viral Fever
"loss of appetite, body ache, chills, fatigue, headache",Viral Fever
pale or yellowish skin,Anemia
"sore throat, slight body aches, congestion, malaise, runny or stuffy nose",Common Cold
"vomiting, mild bleeding, fatigue, sudden high fever, severe headache, nausea",Dengue
"fatigue, depression, pain, stiffness or swelling in your joints, muscle aches, thinning hair, tenderness and stiffness, hoarseness, increased sensitivity to cold",Hypothyroidism
"mild headache, runny or stuffy nose, sneezing, congestion, cough, slight body aches, sore throat",Common Cold
"severe joint and muscle pain, severe headache, pain behind eyes, mild bleeding, sudden high fever, nausea",Dengue
"abdominal pain, weight loss",Typhoid
"slow-healing sores, fatigue, areas of darkened skin, increased hunger, unintended weight loss",Diabetes Type 2
"low-grade fever, cough, malaise, sore throat, runny or stuffy nose",Common Cold
"rash, weakness, prolonged fever, fatigue, dry cough, loss of appetite",Typhoid
cold hands and feet,Anemia
"fatigue, chills, body ache, headache, loss of appetite, measured high fever",Viral Fever
"fatigue, chills, loss of appetite, measured high fever, body ache, weakness, headache",Viral Fever
"fatigue, pain behind eyes, severe joint and muscle pain, severe headache, nausea, vomiting, mild bleeding",Dengue
"low-grade fever, sneezing, slight body aches, congestion, malaise, cough, mild headache, runny or stuffy nose",Common Cold
"muscle pain, headache, vomiting, fever with shaking chills, nausea, sweating",Malaria
"headache, weakness",Anemia
"muscle pain, anemia, abdominal pain, nausea, vomiting, diarrhea",Malaria
"heavy or irregular menstrual periods, weight gain, increased sensitivity to cold, dry skin, slowed heart rate, puffy face, fatigue, tenderness and stiffness, muscle aches, pain, stiffness or swelling in your joints, elevated blood cholesterol, hoarseness, constipation",Hypothyroidism
"dry skin, fatigue, muscle aches, muscle weakness, slowed heart rate, puffy face, thinning hair, weight gain, heavy or irregular menstrual periods, hoarseness, impaired memory, constipation",Hypothyroidism
"frequent infections, areas of darkened skin, fatigue",Diabetes Type 2
"increased hunger, frequent infections, increased thirst, unintended weight loss, fatigue, blurred vision, numbness or tingling in the hands or feet, frequent urination, slow-healing sores",Diabetes Type 2
"headache, fatigue, loss of appetite, chills, body ache, weakness, measured high fever",Viral Fever
"slow-healing sores, increased thirst",Diabetes Type 2
"anemia, headache, nausea, diarrhea, abdominal pain, vomiting, sweating, fever with shaking chills",Malaria
"anemia, nausea, diarrhea",Malaria
"mild headache, sore throat, sneezing, malaise, cough",Common Cold
"weakness, irregular heartbeats, chest pain, pale or yellowish skin, dizziness or lightheadedness, cold hands and feet, headache",Anemia
